i,size,capacity
583000,583001,1048576
584000,584001,1048576
585000,585001,1048576
586000,586001,1048576
587000,587001,1048576
588000,588001,1048576
589000,589001,1048576
590000,590001,1048576
591000,591001,1048576
592000,592001,1048576
593000,593001,1048576
594000,594001,1048576
595000,595001,1048576
596000,596001,1048576
597000,597001,1048576
598000,598001,1048576
599000,599001,1048576
600000,600001,1048576
601000,601001,1048576
602000,602001,1048576
603000,603001,1048576
604000,604001,1048576
605000,605001,1048576
606000,606001,1048576
607000,607001,1048576
608000,608001,1048576
609000,609001,1048576
610000,610001,1048576
611000,611001,1048576
612000,612001,1048576
613000,613001,1048576
614000,614001,1048576
615000,615001,1048576
616000,616001,1048576
617000,617001,1048576
618000,618001,1048576
619000,619001,1048576
620000,620001,1048576
621000,621001,1048576
622000,622001,1048576
623000,623001,1048576
624000,624001,1048576
625000,625001,1048576
626000,626001,1048576
627000,627001,1048576
628000,628001,1048576
629000,629001,1048576
630000,630001,1048576
631000,631001,1048576
632000,632001,1048576
633000,633001,1048576
634000,634001,1048576
635000,635001,1048576
636000,636001,1048576
637000,637001,1048576
638000,638001,1048576
639000,639001,1048576
640000,640001,1048576
641000,641001,1048576
642000,642001,1048576
643000,643001,1048576
644000,644001,1048576
645000,645001,1048576
646000,646001,1048576
647000,647001,1048576
648000,648001,1048576
649000,649001,1048576
650000,650001,1048576
651000,651001,1048576
652000,652001,1048576
653000,653001,1048576
654000,654001,1048576
655000,655001,1048576
656000,656001,1048576
657000,657001,1048576
658000,658001,1048576
659000,659001,1048576
660000,660001,1048576
661000,661001,1048576
662000,662001,1048576
663000,663001,1048576
664000,664001,1048576
665000,665001,1048576
666000,666001,1048576
667000,667001,1048576
668000,668001,1048576
669000,669001,1048576
670000,670001,1048576
671000,671001,1048576
672000,672001,1048576
673000,673001,1048576
674000,674001,1048576
675000,675001,1048576
676000,676001,1048576
677000,677001,1048576
678000,678001,1048576
679000,679001,1048576
680000,680001,1048576
681000,681001,1048576
682000,682001,1048576
683000,683001,1048576
684000,684001,1048576
685000,685001,1048576
686000,686001,1048576
687000,687001,1048576
688000,688001,1048576
689000,689001,1048576
690000,690001,1048576
691000,691001,1048576
692000,692001,1048576
693000,693001,1048576
694000,694001,1048576
695000,695001,1048576
696000,696001,1048576
697000,697001,1048576
698000,698001,1048576
699000,699001,1048576
700000,700001,1048576
701000,701001,1048576
702000,702001,1048576
703000,703001,1048576
704000,704001,1048576
705000,705001,1048576
706000,706001,1048576
707000,707001,1048576
708000,708001,1048576
709000,709001,1048576
710000,710001,1048576
711000,711001,1048576
712000,712001,1048576
713000,713001,1048576
714000,714001,1048576
715000,715001,1048576
716000,716001,1048576
717000,717001,1048576
718000,718001,1048576
719000,719001,1048576
720000,720001,1048576
721000,721001,1048576
722000,722001,1048576
723000,723001,1048576
724000,724001,1048576
725000,725001,1048576
726000,726001,1048576
727000,727001,1048576
728000,728001,1048576
729000,729001,1048576
730000,730001,1048576
731000,731001,1048576
732000,732001,1048576
733000,733001,1048576
734000,734001,1048576
735000,735001,1048576
736000,736001,1048576
737000,737001,1048576
738000,738001,1048576
739000,739001,1048576
740000,740001,1048576
741000,741001,1048576
742000,742001,1048576
743000,743001,1048576
744000,744001,1048576
745000,745001,1048576
746000,746001,1048576
747000,747001,1048576
748000,748001,1048576
749000,749001,1048576
750000,750001,1048576
751000,751001,1048576
752000,752001,1048576
753000,753001,1048576
754000,754001,1048576
755000,755001,1048576
756000,756001,1048576
757000,757001,1048576
758000,758001,1048576
759000,759001,1048576
760000,760001,1048576
761000,761001,1048576
762000,762001,1048576
763000,763001,1048576
764000,764001,1048576
765000,765001,1048576
766000,766001,1048576
767000,767001,1048576
768000,768001,1048576
769000,769001,1048576
770000,770001,1048576
771000,771001,1048576
772000,772001,1048576
773000,773001,1048576
774000,774001,1048576
775000,775001,1048576
776000,776001,1048576
777000,777001,1048576
778000,778001,1048576
779000,779001,1048576
780000,780001,1048576
781000,781001,1048576
782000,782001,1048576
783000,783001,1048576
784000,784001,1048576
785000,785001,1048576
786000,786001,1048576
787000,787001,1048576
788000,788001,1048576
789000,789001,1048576
790000,790001,1048576
791000,791001,1048576
792000,792001,1048576
793000,793001,1048576
794000,794001,1048576
795000,795001,1048576
796000,796001,1048576
797000,797001,1048576
798000,798001,1048576
799000,799001,1048576
800000,800001,1048576
801000,801001,1048576
802000,802001,1048576
803000,803001,1048576
804000,804001,1048576
805000,805001,1048576
806000,806001,1048576
807000,807001,1048576
808000,808001,1048576
809000,809001,1048576
810000,810001,1048576
811000,811001,1048576
812000,812001,1048576
813000,813001,1048576
814000,814001,1048576
815000,815001,1048576
816000,816001,1048576
817000,817001,1048576
818000,818001,1048576
819000,819001,1048576
820000,820001,1048576
821000,821001,1048576
822000,822001,1048576
823000,823001,1048576
824000,824001,1048576
825000,825001,1048576
826000,826001,1048576
827000,827001,1048576
828000,828001,1048576
829000,829001,1048576
830000,830001,1048576
831000,831001,1048576
832000,832001,1048576
833000,833001,1048576
834000,834001,1048576
835000,835001,1048576
836000,836001,1048576
