data_type,n,Left,Right,Mid
float,113583,-4.99686e-06,3.79483e-06,-5.86112e-07
double,124941,-4.00188e-06,4.0019e-06,-5.33795e-12
float,124941,-4.34121e-06,3.67562e-06,-3.17891e-07
double,137435,-3.63807e-06,3.63809e-06,-4.41069e-12
float,137435,-2.79148e-06,4.48028e-06,6.65585e-07
double,151178,-3.30735e-06,3.30737e-06,-3.65108e-12
float,151178,-3.44714e-06,3.16898e-06,9.93411e-09
double,166295,-3.0067e-06,3.00671e-06,-3.0152e-12
float,166295,-2.01662e-06,4.00345e-06,1.05302e-06
double,182924,-2.73337e-06,2.73338e-06,-2.49267e-12
float,182924,-2.73188e-06,2.72195e-06,3.97364e-08
double,201216,-2.48489e-06,2.4849e-06,-2.05763e-12
float,201216,-1.53979e-06,3.4372e-06,1.14242e-06
double,221337,-2.259e-06,2.259e-06,-1.70269e-12
float,221337,-3.74516e-06,7.84795e-07,-1.62919e-06
double,243470,-2.05364e-06,2.05364e-06,-1.41093e-12
float,243470,-2.01662e-06,2.0961e-06,3.97364e-08
double,267817,-1.86694e-06,1.86695e-06,-1.16013e-12
float,267817,-7.94729e-08,3.64582e-06,1.82788e-06
double,294598,-1.69723e-06,1.69723e-06,-9.56735e-13
float,294598,-7.64926e-07,2.63254e-06,9.63608e-07
double,324057,-1.54294e-06,1.54294e-06,-7.95863e-13
float,324057,-3.17891e-07,2.78155e-06,1.20203e-06
double,356462,-1.40267e-06,1.40268e-06,-6.53755e-13
float,356462,-5.5631e-07,2.24511e-06,9.63608e-07
double,392108,-1.27516e-06,1.27516e-06,-5.39624e-13
float,392108,-3.89417e-06,-1.33117e-06,-2.64247e-06
double,431318,-1.15924e-06,1.15924e-06,-4.47975e-13
float,431318,-3.32793e-06,-1.00334e-06,-2.19544e-06
double,474449,-1.05385e-06,1.05385e-06,-3.70093e-13
float,474449,5.22534e-06,7.34131e-06,6.29822e-06
double,521893,-9.5805e-07,9.58051e-07,-3.16858e-13
float,521893,-7.14262e-06,-5.23527e-06,-6.12934e-06
double,574082,-8.70955e-07,8.70956e-07,-2.51965e-13
float,574082,-1.47422e-05,-1.30137e-05,-1.39972e-05
double,631490,-7.91778e-07,7.91779e-07,-2.09222e-13
float,631490,-2.01662e-06,-4.37101e-07,-1.21196e-06
double,694639,-7.19798e-07,7.19799e-07,-1.71529e-13
float,694639,-1.16428e-05,-1.02123e-05,-1.09573e-05
double,764102,-6.54363e-07,6.54363e-07,-1.249e-13
float,764102,3.79483e-06,5.10613e-06,4.56969e-06
double,840512,-5.94875e-07,5.94876e-07,-1.20959e-13
float,840512,9.48707e-06,1.06792e-05,1.00235e-05
double,924563,-5.40796e-07,5.40796e-07,-9.28702e-14
float,924563,-1.51893e-05,-1.41164e-05,-1.45634e-05
double,1017019,-4.91633e-07,4.91633e-07,-8.9484e-14
float,1017019,2.78155e-06,3.76503e-06,3.22859e-06
double,1118720,-4.46939e-07,4.46939e-07,-6.89448e-14
float,1118720,-7.94729e-07,9.93411e-08,-3.17891e-07
double,1230592,-4.06308e-07,4.06309e-07,-6.13398e-14
float,1230592,7.35025e-05,7.43071e-05,7.38601e-05
double,1353651,-3.69371e-07,3.69372e-07,-3.56382e-14
float,1353651,8.02378e-05,8.09828e-05,8.05954e-05
double,1489016,-3.35792e-07,3.35792e-07,-4.67404e-14
float,1489016,9.57648e-06,1.02619e-05,9.90431e-06
double,1637917,-3.05266e-07,3.05266e-07,-3.7137e-14
float,1637917,-0.000138124,-0.000137528,-0.000137945
double,1801708,-2.77514e-07,2.77515e-07,-3.69149e-14
float,1801708,2.40008e-05,2.4567e-05,2.43286e-05
double,1981878,-2.52286e-07,2.52286e-07,-2.83107e-15
float,1981878,2.36432e-05,2.41498e-05,2.38816e-05
double,2180065,-2.29351e-07,2.29351e-07,-2.64788e-14
float,2180065,-0.000122895,-0.000122448,-0.000122716
double,2398071,-2.08501e-07,2.08501e-07,-1.7486e-14
float,2398071,0.000362734,0.000363151,0.000362943
double,2637878,-1.89546e-07,1.89546e-07,-1.36002e-14
float,2637878,0.000293771,0.000294159,0.00029395
double,2901665,-1.72315e-07,1.72315e-07,-2.60902e-14
float,2901665,3.1809e-05,3.21666e-05,3.20176e-05
double,3191831,-1.5665e-07,1.5665e-07,-5.55112e-15
float,3191831,-0.000389536,-0.000389208,-0.000389328
double,3511014,-1.42409e-07,1.42409e-07,3.9968e-15
float,3511014,-0.000515362,-0.000515064,-0.000515213
double,3862115,-1.29463e-07,1.29463e-07,-5.60663e-15
float,3862115,-0.000325312,-0.000325044,-0.000325163
double,4248326,-1.17693e-07,1.17693e-07,5.44009e-15
float,4248326,0.00095577,0.000956009,0.00095586
double,4673158,-1.06994e-07,1.06994e-07,-7.49401e-15
float,4673158,0.000211368,0.000211577,0.000211487
